system,num_stories,design_s,design_ns,model,intervention,loss_ratio,repair_cost,re_occupancy_time,functional_recovery_time,functional_recovery_time_repairable,prob_unrepairable,prob_downtime
RCMF,4,baseline,baseline,RCMF-4-baseline-baseline,0,9.729031591e-4,39012.44,1.406715191,2.141954726,2.161128702,1.4e-4,0.009251
RCMF,4,baseline,nsfr,RCMF-4-baseline-nsfr,1,8.828095997e-4,36233.15,1.114331964,1.515596142,1.528629984,1.4e-4,0.006155
RCMF,4,RC IV,baseline,RCMF-4-RC IV-baseline,1,4.43788393e-4,18390.149999999998,0.6179233703,2.037460367,2.037218878,2.35e-5,0.009353
RCMF,4,RC IV,nsfr,RCMF-4-RC IV-nsfr,1,3.245334503e-4,13756,0.4506784956,1.240683735,1.23940987,1.9e-5,0.005245
RCMF,8,baseline,baseline,RCMF-8-baseline-baseline,0,4.346330537e-4,34021.77,1.107344506,2.046949173,2.046939529,3.01e-5,0.008918
RCMF,8,baseline,nsfr,RCMF-8-baseline-nsfr,1,3.835653463e-4,30749.280000000002,0.8136482231,1.375633893,1.374162243,2.64e-5,0.005587
RCMF,8,RC IV,baseline,RCMF-8-RC IV-baseline,1,3.820455594e-4,31051.9,0.8881454909,2.095542101,2.09421308,1.4e-5,0.00909
RCMF,8,RC IV,nsfr,RCMF-8-RC IV-nsfr,1,3.126455229e-4,26002.1,0.6586138476,1.312608066,1.312555122,1.49e-5,0.005364
RCMF,12,baseline,baseline,RCMF-12-baseline-baseline,0,2.688578216e-4,30993.39,0.9678793072,2.028101172,2.023304544,3.47e-5,0.008663
RCMF,12,baseline,nsfr,RCMF-12-baseline-nsfr,1,2.388904628e-4,28215.35,0.7164337256,1.418805337,1.414329596,3.31e-5,0.005513
RCMF,12,RC IV,baseline,RCMF-12-RC IV-baseline,1,2.292168698e-4,27363.91,0.7890252855,2.201457076,2.199295222,1.43e-5,0.00922
RCMF,12,RC IV,nsfr,RCMF-12-RC IV-nsfr,1,1.858862477e-4,22717.9,0.5716421767,1.488702051,1.487105768,9.39e-6,0.0057
RCMF,20,baseline,baseline,RCMF-20-baseline-baseline,0,1.995176365e-4,38710.61,0.91966454500000006,2.26081396,2.259113765,7.72e-6,0.008704
RCMF,20,baseline,nsfr,RCMF-20-baseline-nsfr,1,1.605381464e-4,31905.51,0.6588144329,1.659793955,1.656816912,1.23e-5,0.005954
RCMF,20,RC IV,baseline,RCMF-20-RC IV-baseline,1,1.429352655e-4,28854.480000000003,0.5215052489,2.302323204,2.301526349,3.43e-6,0.009252
RCMF,20,RC IV,nsfr,RCMF-20-RC IV-nsfr,1,9.640655677e-5,19916.73,0.3467090427,1.581228912,1.579636935,4.65e-6,0.005945
RCSW,4,baseline,baseline,RCSW-4-baseline-baseline,0,2.683739312e-4,10832.91373,0.5245662007,1.21189451,1.210399984,1.15e-5,0.005325
RCSW,4,baseline,nsfr,RCSW-4-baseline-nsfr,1,1.81402351e-4,7493.9125220000005,0.3221387271,0.7487167977,0.746561214,1.33e-5,0.003376
RCSW,4,RC IV,baseline,RCSW-4-RC IV-baseline,1,3.54088714e-4,14657.50231,0.3952344477,2.028432352,2.02746853,2.86e-6,0.008664
RCSW,4,RC IV,nsfr,RCSW-4-RC IV-nsfr,1,1.629374868e-4,6898.936128,0.2771235417,1.342258906,1.34026764,2.64e-6,0.005346
